Question,Average,ID,gt_df
We have to obtain and analyze the respondent bank report..exists('obtain respondent bank annual report') and exists('analyze respondent bank annual report'),2.6666666666666665,1,Y
"We have to obtain and analyze the respondent bank report..leads_to(tree, 'Obtain respondent bank report', 'Analyze respondent bank report')",2.3333333333333335,2,X
"We have to obtain and analyze the respondent bank report..leads_to(tree, receive_exist(tree, 'respondentBankReport'), 'Analyze respondent bank report')",3.3333333333333335,3,Y
"We have to obtain and analyze the respondent bank report..receive_exist(tree, 'respondentBankReport') and exists('analyze respondent bank annual report')",2.0,4,Y
We have to obtain and analyze the respondent bank report..exists('obtain and analyze respondent bank report'),2.6666666666666665,5,Y
"If the respondent bank evaluation fails, it must be added to a black list..condition_eventually_follows('not data.evaluation', 'add respondent bank to blacklist')""",3.3333333333333335,1,Y
"If the respondent bank evaluation fails, it must be added to a black list..condition_eventually_follows(tree, 'respondentBankEvaluation == \""fail\""', 'Add to black list')",4.333333333333333,2,Y
"If the respondent bank evaluation fails, it must be added to a black list..condition_eventually_follows(tree, 'respondentBankEvaluation == \""fail\""', 'Add to black list')1",4.333333333333333,3,Y
"If the respondent bank evaluation fails, it must be added to a black list..condition_eventually_follows('not respondentBankEvaluation', 'Add to black list')",4.0,4,X
"If the respondent bank evaluation fails, it must be added to a black list..condition_eventually_follows(tree, \""respondentBankEvaluation == 'fail'\"", 'add respondent bank to black list')",4.666666666666667,5,Y
"Opening an account must be of low risk..condition_directly_follows( 'risk == \""low\""', 'Open account')",2.3333333333333335,1,Y
"Opening an account must be of low risk..condition_eventually_follows('not risk ', 'Open account')",3.0,2,Y
"Opening an account must be of low risk..condition_eventually_follows('risk == \""low\""', 'Open account')",4.0,3,X
"Opening an account must be of low risk..condition_directly_follows('risk == \""high\""', 'terminate')",1.3333333333333333,4,Y
"Opening an account must be of low risk..condition_directly_follows('risk', 'terminate')",1.0,5,Y
"If it is the first time to deal with the respondent bank, an advanced due diligence study must be conducted..condition_eventually_follows( 'isFirstTime', 'Conduct advanced due diligence study')",4.0,1,X
"If it is the first time to deal with the respondent bank, an advanced due diligence study must be conducted..condition_eventually_follows('evaluation_extra', 'conduct due diligence study')",2.3333333333333335,2,Y
"If it is the first time to deal with the respondent bank, an advanced due diligence study must be conducted..condition_eventually_follows( \""firstTime\"", 'Conduct advanced due diligence study')",4.0,3,Y
"If it is the first time to deal with the respondent bank, an advanced due diligence study must be conducted..condition_eventually_follows(tree, \""isFirstTimeDealing\"", 'conduct advanced due diligence ",3.3333333333333335,4,Y
"If it is the first time to deal with the respondent bank, an advanced due diligence study must be conducted..condition_eventually_follows( \""firstTimeDeal\"", 'Conduct Advanced Due Diligence Study')",4.333333333333333,5,Y
"If the respondent bank rating is rejected, an account must never be opened..data_leads_to_absence(tree, 'respondentBankRating == \""rejected\""', 'Open account')",3.6666666666666665,1,Y
