Question,Average,ID,gt_df
"If, for any reason, the process exceeds 30 days, the process with the telephone company must be terminated..timed_alternative( 'Start Activity', 'terminate', 2592000)",2.0,1,Y
"If, for any reason, the process exceeds 30 days, the process with the telephone company must be terminated..max_time_between('Start Activity', 'End Activity', 2592000 )",2.6666666666666665,2,X
"If, for any reason, the process exceeds 30 days, the process with the telephone company must be terminated..max_time_between( 'Start Activity', 'End Activity', 2592000, 'terminate')",4.333333333333333,3,Y
"If, for any reason, the process exceeds 30 days, the process with the telephone company must be terminated..max_time_between( \""Start Activity\"", \""End Activity\"", 30, \""terminate\"")",3.6666666666666665,4,Y
"If, for any reason, the process exceeds 30 days, the process with the telephone company must be terminated..max_time_between( \""Start Activity\"", \""End Activity\"", 2592000, \""terminate\"")",3.3333333333333335,5,Y
"The telephone company must verify the accuracy of user personal information..exists('verify user data') and executed_by('verify user data', 'telephone company')",3.3333333333333335,1,Y
"The telephone company must verify the accuracy of user personal information..executed_by('Verify Accuracy User Personal Information', 'Telephone Company')",3.6666666666666665,2,Y
"The telephone company must verify the accuracy of user personal information..executed_by('verify accuracy user personal information', 'telephone company')1",3.3333333333333335,3,Y
"The telephone company must verify the accuracy of user personal information..executed_by( \""verify user personal information accuracy\"", \""telephone company\"")",3.6666666666666665,4,X
"The telephone company must verify the accuracy of user personal information..executed_by( \""verify accuracy user personal information\"", \""telephone company\"")",3.3333333333333335,5,Y
"When a customer receives a SIM card, the telephone company must activate the SIM card before the customer can use it..leads_to( receive_exist( 'simCard'), 'activate SIM card') and precedence( 'use SIM",4.0,1,Y
"When a customer receives a SIM card, the telephone company must activate the SIM card before the customer can use it..leads_to(tree, receive_exist( 'simCard'), 'activate SIM card') and precedence( 'us",3.6666666666666665,2,Y
"When a customer receives a SIM card, the telephone company must activate the SIM card before the customer can use it..leads_to(tree, 'send sim card', 'activate sim card') and precedence(tree, 'use sim",2.0,3,X
"When a customer receives a SIM card, the telephone company must activate the SIM card before the customer can use it..leads_to(tree, 'deliver SIM card', 'activate SIM card') and leads_to(tree, 'activa",2.0,4,Y
"When a customer receives a SIM card, the telephone company must activate the SIM card before the customer can use it..activity_receives('Activate Sim Card','data.sim_card_status') and executed_by('Act",1.3333333333333333,5,Y
"Before retrieving any type of personal data from data subjects, the data controller must obtain the consent of the data subject..precedence( receive_exist( 'personalData'), 'Obtain Consent') and execu",2.6666666666666665,1,X
"Before retrieving any type of personal data from data subjects, the data controller must obtain the consent of the data subject..precedence( receive_exist( 'personalData'), 'Obtain consent') and execu1",4.0,2,Y
"Before retrieving any type of personal data from data subjects, the data controller must obtain the consent of the data subject..precedence('Request personal data', 'obtain data processing consent') a",3.0,3,Y
"Before retrieving any type of personal data from data subjects, the data controller must obtain the consent of the data subject..precedence( receive_exist( \""personalData\""), \""obtain consent\"") and e",3.0,4,Y
"Before retrieving any type of personal data from data subjects, the data controller must obtain the consent of the data subject..precedence( receive_exist( 'personalData'), 'obtain consent data subjec",2.0,5,Y
"The customer data must be received before the individual risk assessment can take place.precedence('conduct risk disclosure', receive_exist('customer_data'))",4.0,1,Y
"The customer data must be received before the individual risk assessment can take place.precedence( 'conduct individual risk assessment', receive_exist( 'customerData'))",4.666666666666667,2,Y
"The customer data must be received before the individual risk assessment can take place.precedence( 'conductIndividualRiskAssessment', receive_exist( 'customerData'))",4.0,3,X
"The customer data must be received before the individual risk assessment can take place.precedence( 'individual risk assessment', receive_exist( 'customerData'))",4.666666666666667,4,Y
"The customer data must be received before the individual risk assessment can take place.precedence( 'conduct_individual_risk_assessment', receive_exist( 'customerData'))",4.333333333333333,5,Y
The customer advisor must provide the two obligatory brochures WpHG Customer  Information and the Basic Information Securities and Capital Investment.executed_by( send_exist( 'WphgCustomerInformation',3.3333333333333335,1,Y
The customer advisor must provide the two obligatory brochures WpHG Customer  Information and the Basic Information Securities and Capital Investment.executed_by( send_exist( 'wphgCustomerInformation'1,3.6666666666666665,2,Y
The customer advisor must provide the two obligatory brochures WpHG Customer  Information and the Basic Information Securities and Capital Investment.executed_by( send_exist( 'wphgCustomerInformation'2,4.0,3,Y
The customer advisor must provide the two obligatory brochures WpHG Customer  Information and the Basic Information Securities and Capital Investment.executed_by( send_exist( 'wphgCustomerInformation'3,3.6666666666666665,4,X
"The customer advisor must provide the two obligatory brochures WpHG Customer  Information and the Basic Information Securities and Capital Investment.executed_by(send_exist('customer_brochures'), 'cus",2.6666666666666665,5,Y
"After concluding the custody account contract, the customer legitimation and the  account documents need to be send to market support..leads_to( 'conclude custody account contract', send_exist( 'custo",3.6666666666666665,1,Y
"After concluding the custody account contract, the customer legitimation and the  account documents need to be send to market support..leads_to('conclude custody account', send_exist('custody_account_",1.6666666666666667,2,X
"After concluding the custody account contract, the customer legitimation and the  account documents need to be send to market support..leads_to( 'conclude custody account contract', send_exist( 'custo1",2.6666666666666665,3,Y
"After concluding the custody account contract, the customer legitimation and the  account documents need to be send to market support..(leads_to( 'conclude_custody_account_contract', receive_exist( 'c",3.0,4,Y
"After concluding the custody account contract, the customer legitimation and the  account documents need to be send to market support..leads_to( 'conclude custody account contract', send_exist( 'custo2",2.6666666666666665,5,Y
"The investment advice needs to be conducted by a customer advisor with a securities competence of level C or above..executed_by('conduct investment advice', 'securities customer advisor')",1.6666666666666667,1,Y
"The investment advice needs to be conducted by a customer advisor with a securities competence of level C or above..executed_by( 'conduct investment advice', 'customer advisor with securities competen",3.6666666666666665,2,Y
"The investment advice needs to be conducted by a customer advisor with a securities competence of level C or above..executed_by('conduct investment advice','customer advisor with securities competence",3.6666666666666665,3,X
